datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 17:00,27.2,32.2,30,100969,0,429,0.91,0,0,0,160,1.1,2.400000095,0.89,0,-2.95,0,0,0
5/1/23 1:00,4/30/23 18:00,27.1,32.2,30,100895,0,425,0.92,0,0,0,175,0.7,1.799999952,0.9,0,3.08,0,0,0
5/1/23 2:00,4/30/23 19:00,27.1,32.2,30,100861,0,419,0.9,0.2,0,0,177,0.6,1.5,0.9,0,2.82,0,0,0
5/1/23 3:00,4/30/23 20:00,26.5,32.2,30,100816,0,422,0.88,0,0,0,157,0.5,1.299999952,0.92,0,2.57,0,0,0
5/1/23 4:00,4/30/23 21:00,26.7,32.2,30,100808,0,417,0.92,0,0,0,161,0.2,0.699999988,0.92,0,2.33,0,0,0
5/1/23 5:00,4/30/23 22:00,26.7,32.2,30,100850,0,415,0.91,0,0,0,344,0.5,0.300000012,0.92,0,2.09,0,0,0
5/1/23 6:00,4/30/23 23:00,26.6,32.2,30,100892,0,414,0.74,0,0,0,28,0.8,1.399999976,0.93,0,1.89,0,0,0
5/1/23 7:00,5/1/23 0:00,26.7,32.2,30,100970,69,413,0.36,0,40,0,40,1.4,2.099999905,0.92,0.122,1.8,0,29,328
5/1/23 8:00,5/1/23 1:00,27,32.2,30,101068,251,423,0.32,0,171,0,58,2,2.599999905,0.87,0.372,1.76,0,80,470
5/1/23 9:00,5/1/23 2:00,32.4,32.2,30,101109,468,429,0.35,0,365,0,64,2.4,3.099999905,0.63,0.623,1.72,0,103,626
5/1/23 10:00,5/1/23 3:00,32.5,32.2,30,101102,699,434,0.27,0,572,0,68,2.3,2.900000095,0.63,0.875,1.69,0,127,745
5/1/23 11:00,5/1/23 4:00,32.6,32.2,30,101076,867,440,0.11,0.1,736,0,77,1.6,2,0.62,1.128,1.67,0,131,815
5/1/23 12:00,5/1/23 5:00,35,32.2,30,101009,861,450,0.13,0,730,0,90,1.1,1.399999976,0.53,1.38,1.7,0,131,743
5/1/23 13:00,5/1/23 6:00,35.4,32.1,30,100900,929,455,0.29,0,777,0,114,1.1,1.399999976,0.53,1.503,-1.88,0,152,779
5/1/23 14:00,5/1/23 7:00,35.2,32.1,30,100754,838,453,0.21,0,674,0,133,1,1.200000048,0.54,1.252,-1.67,0,164,710
5/1/23 15:00,5/1/23 8:00,35,32.1,30,100687,799,453,0.17,0,663,0,178,1.1,1.200000048,0.55,0.999,-1.68,0,136,788
5/1/23 16:00,5/1/23 9:00,34.4,32.1,30,100578,612,454,0.25,0,504,0,186,1.9,2.299999952,0.58,0.747,-1.71,0,108,742
5/1/23 17:00,5/1/23 10:00,32.6,32.1,30,100593,366,454,0.91,0.7,263,0,157,1.5,1.899999976,0.64,0.495,-1.74,0,103,553
5/1/23 18:00,5/1/23 11:00,32.1,32.1,30,100649,114,451,0.78,3.1,67,0,108,1.5,2.900000095,0.67,0.246,-1.78,0,47,275
5/1/23 19:00,5/1/23 12:00,31.1,32.1,30,100723,11,441,0.63,2,4,0,111,2.8,5.199999809,0.75,0,-1.84,0.08,7,80
5/1/23 20:00,5/1/23 13:00,31.3,32.1,30,100851,0,432,0.56,0,0,0,122,3.1,5.599999905,0.75,0,-1.99,0.11,0,0
5/1/23 21:00,5/1/23 14:00,29.8,32.1,30,100921,0,431,0.5,0,0,0,125,2.8,5.099999905,0.82,0,-2.21,0.07,0,0
5/1/23 22:00,5/1/23 15:00,29.8,32.1,30,100987,0,434,0.43,0,0,0,143,2.4,4.5,0.82,0,-2.45,0.04,0,0
5/1/23 23:00,5/1/23 16:00,29.8,32.1,30,101014,0,430,0.51,0,0,0,170,1.9,4,0.81,0,-2.7,0.02,0,0
5/2/23 0:00,5/1/23 17:00,29,32.1,30,101002,0,432,0.74,0,0,0,180,2.1,4.199999809,0.86,0,-2.95,0.03,0,0
5/2/23 1:00,5/1/23 18:00,29,32.1,30,100950,0,431,0.8,0,0,0,183,1.9,3.900000095,0.86,0,3.08,0.02,0,0
5/2/23 2:00,5/1/23 19:00,29,32.1,30,100901,0,427,0.83,0,0,0,179,1.8,3.799999952,0.86,0,2.82,0.02,0,0
5/2/23 3:00,5/1/23 20:00,28.4,32.1,30,100845,0,428,0.68,0,0,0,177,1.5,3.400000095,0.88,0,2.57,0.01,0,0
5/2/23 4:00,5/1/23 21:00,28.3,32.1,30,100803,0,427,0.61,0,0,0,171,1.1,2.599999905,0.89,0,2.33,0,0,0
5/2/23 5:00,5/1/23 22:00,28.2,32.1,30,100865,0,422,0.57,0,0,0,151,0.9,1.899999976,0.92,0,2.09,0,0,0
5/2/23 6:00,5/1/23 23:00,28.3,32.1,30,100897,0,424,0.56,0,0,0,126,0.8,1.5,0.91,0,1.89,0,0,0
5/2/23 7:00,5/2/23 0:00,28.5,32.1,30,101000,70,421,0.44,0,42,0,138,1.3,1.799999952,0.9,0.124,1.81,0,28,340
5/2/23 8:00,5/2/23 1:00,28.4,32.1,30,101083,279,428,0.49,0,202,0,161,1.6,2,0.89,0.374,1.77,0,77,553
5/2/23 9:00,5/2/23 2:00,33.2,32.1,30,101130,499,434,0.4,0,390,0,163,1.7,2,0.69,0.624,1.73,0,109,668
5/2/23 10:00,5/2/23 3:00,33.1,32.1,30,101126,709,441,0.52,0,578,0,161,1.5,1.799999952,0.69,0.876,1.7,0,131,753
5/2/23 11:00,5/2/23 4:00,32.9,32.1,30,101078,788,450,0.7,0.1,647,0,162,1.4,1.600000024,0.7,1.128,1.69,0,141,716
5/2/23 12:00,5/2/23 5:00,34.5,32.1,30,101025,732,458,0.82,0.1,512,0,166,1.4,1.600000024,0.64,1.38,1.73,0,220,521
5/2/23 13:00,5/2/23 6:00,34.3,32.1,30,100935,806,457,0.74,0.1,530,0,186,2.1,2.5,0.64,1.501,-1.95,0,276,531
5/2/23 14:00,5/2/23 7:00,33.9,32.1,30,100826,802,459,0.57,0.2,667,0,186,2.5,3,0.64,1.252,-1.69,0,135,702
5/2/23 15:00,5/2/23 8:00,33.1,32.1,30,100702,557,456,0.66,0.1,377,0,174,2.6,3.200000048,0.66,0.999,-1.69,0,180,448
5/2/23 16:00,5/2/23 9:00,33.2,32.1,30,100678,477,458,0.7,0,375,0,174,3.5,4.400000095,0.65,0.747,-1.71,0.04,102,552
5/2/23 17:00,5/2/23 10:00,31.5,32.1,30,100667,328,454,0.67,0.1,230,0,176,3.3,4.400000095,0.7,0.496,-1.75,0.04,98,484
5/2/23 18:00,5/2/23 11:00,31.3,32.1,30,100754,122,447,0.7,0,70,0,180,3.6,5.199999809,0.72,0.246,-1.79,0.08,52,287
