datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 18:00,26.2,29.3,25.8,100693,0,424,0.92,0,0,0,323,2.4,4.900000095,0.78,0,-3.04,0.06,0,0
5/1/23 1:00,4/30/23 19:00,25.7,29.3,25.8,100635,0,418,0.9,0,0,0,317,2.3,4.5,0.82,0,2.99,0.04,0,0
5/1/23 2:00,4/30/23 20:00,25.1,29.3,25.8,100602,0,412,0.93,0,0,0,322,2.1,4,0.85,0,2.74,0.02,0,0
5/1/23 3:00,4/30/23 21:00,25,29.3,25.8,100584,0,409,0.9,0,0,0,332,1.5,3,0.86,0,2.49,0,0,0
5/1/23 4:00,4/30/23 22:00,24.3,29.3,25.8,100584,0,407,0.96,0,0,0,341,1.2,2.599999905,0.92,0,2.25,0,0,0
5/1/23 5:00,4/30/23 23:00,24.3,29.3,25.8,100607,0,404,0.88,0,0,0,337,1.3,2.5,0.93,0,2.02,0,0,0
5/1/23 6:00,5/1/23 0:00,24.9,29.3,25.8,100654,12,406,0.99,0,1,0,344,1.7,2.700000048,0.89,0.006,1.85,0,11,20
5/1/23 7:00,5/1/23 1:00,24.9,29.3,25.8,100753,111,416,1,0,28,0,353,1.6,2.099999905,0.87,0.241,1.75,0,83,117
5/1/23 8:00,5/1/23 2:00,29.2,29.3,25.8,100865,265,421,0.99,0,82,0,355,1.8,2.299999952,0.68,0.479,1.66,0,183,178
5/1/23 9:00,5/1/23 3:00,29.5,29.3,25.8,100914,490,424,1,0,275,0,346,1.4,1.700000048,0.67,0.718,1.56,0,215,418
5/1/23 10:00,5/1/23 4:00,29.2,29.3,25.8,100921,606,434,0.99,0.1,301,0,342,1,1.200000048,0.69,0.957,1.43,0,305,368
5/1/23 11:00,5/1/23 5:00,32.4,29.3,25.8,100884,678,442,0.99,0,358,0,313,0.5,0.600000024,0.55,1.19,1.22,0,320,386
5/1/23 12:00,5/1/23 6:00,32.7,29.3,25.8,100805,704,445,1,0,314,0,268,0.9,1,0.53,1.386,0.6,0,390,319
5/1/23 13:00,5/1/23 7:00,33.2,29.3,25.8,100734,450,446,1,0,154,0,262,1.4,1.700000048,0.52,1.359,-0.78,0,296,158
5/1/23 14:00,5/1/23 8:00,34.3,29.3,25.8,100654,514,444,0.99,0,237,0,251,2.7,3.400000095,0.47,1.15,-1.27,0.01,277,260
5/1/23 15:00,5/1/23 9:00,30.9,29.3,25.8,100671,538,443,0.86,1,227,0,258,4.6,6.099999905,0.57,0.916,-1.46,0.14,311,286
5/1/23 16:00,5/1/23 10:00,28.3,29.3,25.8,100616,322,435,1,0,132,0,269,4.9,6.699999809,0.69,0.676,-1.58,0.2,190,211
5/1/23 17:00,5/1/23 11:00,29.7,29.3,25.8,100681,222,425,0.99,0,126,0,271,4.7,6.599999905,0.63,0.437,-1.68,0.19,96,298
5/1/23 18:00,5/1/23 12:00,29.7,29.3,25.8,100773,68,432,1,0,13,0,267,4,6.300000191,0.61,0.2,-1.77,0.16,55,65
5/1/23 19:00,5/1/23 13:00,29.5,29.3,25.8,100860,4,425,1,0,0,0,285,3.7,6.199999809,0.61,0,-1.87,0.15,4,0
5/1/23 20:00,5/1/23 14:00,27.5,29.3,25.8,100882,0,423,1,0,0,0,304,2.9,5.300000191,0.68,0,-2.06,0.09,0,0
5/1/23 21:00,5/1/23 15:00,26.8,29.3,25.8,100908,0,423,1,0,0,0,334,1.7,3.700000048,0.74,0,-2.29,0.02,0,0
5/1/23 22:00,5/1/23 16:00,26.9,29.3,25.8,100890,0,421,1,0,0,0,27,1.1,2.700000048,0.76,0,-2.53,0,0,0
5/1/23 23:00,5/1/23 17:00,26.3,29.3,25.8,100859,0,415,1,0,0,0,44,1.4,3,0.78,0,-2.78,0,0,0
5/2/23 0:00,5/1/23 18:00,26.2,29.3,25.9,100818,0,417,1,0,0,0,22,1,2.599999905,0.8,0,-3.04,0,0,0
5/2/23 1:00,5/1/23 19:00,26.2,29.3,25.9,100796,0,411,1,0,0,0,352,1,1.600000024,0.81,0,2.99,0,0,0
