datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 16:00,27.9,28.6,28.6,100615,0,418,0.56,0,0,0,95,5.2,6.300000191,0.81,0,-2.95,0.16,0,0
5/1/23 1:00,4/30/23 17:00,27.8,28.6,28.6,100600,0,418,0.49,0,0,0,95,5.3,6.300000191,0.8,0,3.08,0.16,0,0
5/1/23 2:00,4/30/23 18:00,27.8,28.6,28.6,100539,0,417,0.65,0,0,0,94,5,5.900000095,0.8,0,2.83,0.13,0,0
5/1/23 3:00,4/30/23 19:00,27.7,28.6,28.6,100503,0,415,0.68,0,0,0,91,4.9,5.900000095,0.81,0,2.58,0.13,0,0
5/1/23 4:00,4/30/23 20:00,27.5,28.6,28.6,100494,0,416,0.67,0,0,0,89,4.6,5.599999905,0.81,0,2.33,0.11,0,0
5/1/23 5:00,4/30/23 21:00,27.5,28.6,28.6,100489,0,412,0.63,0,0,0,90,4.3,5.099999905,0.81,0,2.09,0.07,0,0
5/1/23 6:00,4/30/23 22:00,27.7,28.6,28.6,100521,0,413,0.31,0,0,0,87,4.4,5.199999809,0.76,0,1.89,0.08,0,0
5/1/23 7:00,4/30/23 23:00,27.7,28.6,28.6,100610,22,412,0.1,0,12,0,90,4,4.699999809,0.76,0.021,1.83,0.05,10,240
5/1/23 8:00,5/1/23 0:00,27.9,28.6,28.6,100652,196,414,0.1,0,144,0,95,3.9,4.5,0.75,0.269,1.88,0.04,52,542
5/1/23 9:00,5/1/23 1:00,28.1,28.6,28.6,100704,422,413,0.11,0,346,0,102,3.7,4.199999809,0.74,0.511,1.97,0.03,76,708
5/1/23 10:00,5/1/23 2:00,28.4,28.6,28.6,100716,614,414,0.14,0,526,0,103,3.7,4.199999809,0.72,0.743,2.09,0.03,88,777
5/1/23 11:00,5/1/23 3:00,28.5,28.6,28.6,100690,782,417,0.29,0,683,0,107,3.7,4.199999809,0.73,0.955,2.3,0.03,99,837
5/1/23 12:00,5/1/23 4:00,28,28.6,28.6,100606,838,420,0.38,1.2,734,0,119,3.5,4,0.76,1.113,2.69,0.02,104,818
5/1/23 13:00,5/1/23 5:00,27.7,28.6,28.6,100563,802,418,0.58,0.5,647,0,116,3.3,3.900000095,0.78,1.153,-2.99,0.02,155,708
5/1/23 14:00,5/1/23 6:00,27.7,28.6,28.6,100473,554,428,0.75,0.5,303,0,119,3.3,3.900000095,0.79,1.048,-2.48,0.02,251,350
5/1/23 15:00,5/1/23 7:00,27.8,28.6,28.6,100505,422,431,0.89,1.2,228,0,122,3.1,3.599999905,0.81,0.858,-2.19,0.01,194,301
5/1/23 16:00,5/1/23 8:00,27.6,28.6,28.6,100436,299,427,0.97,0.6,149,0,110,3.2,3.700000048,0.82,0.635,-2.02,0.02,150,251
5/1/23 17:00,5/1/23 9:00,27.6,28.6,28.6,100475,183,425,0.95,0.2,63,0,96,2.5,3,0.81,0.396,-1.92,0,120,163
5/1/23 18:00,5/1/23 10:00,27.5,28.5,28.4,100518,68,424,0.91,0.1,19,0,83,1,1.200000048,0.82,0.151,-1.86,0,49,126
5/1/23 19:00,5/1/23 11:00,27.8,28.5,28.4,100600,0,424,0.79,0.1,0,0,88,1.7,2,0.8,0,-1.84,0,0,0
