datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 17:00,25.8,28.4,27.9,100500,0,432,0.46,1.3,0,0,139,1.1,2.200000048,0.94,0,-3.06,0,0,0
5/1/23 1:00,4/30/23 18:00,25.5,28.4,27.9,100459,0,426,0.78,1.5,0,0,192,0.5,0.699999988,0.94,0,2.97,0,0,0
5/1/23 2:00,4/30/23 19:00,25.4,28.4,27.9,100401,0,418,0.76,0.2,0,0,213,0.9,0.699999988,0.94,0,2.72,0,0,0
5/1/23 3:00,4/30/23 20:00,25.1,28.4,27.9,100377,0,419,0.82,0.1,0,0,202,1.8,2.099999905,0.95,0,2.47,0,0,0
5/1/23 4:00,4/30/23 21:00,25.1,28.4,27.9,100366,0,423,0.92,0,0,0,204,1.9,2.799999952,0.95,0,2.23,0,0,0
5/1/23 5:00,4/30/23 22:00,25.1,28.4,27.9,100329,0,416,0.92,0,0,0,190,1.1,1.5,0.95,0,2,0,0,0
5/1/23 6:00,4/30/23 23:00,25.1,28.4,27.9,100434,0,411,0.99,0,0,0,182,1,0.800000012,0.95,0,1.84,0,0,0
5/1/23 7:00,5/1/23 0:00,25.3,28.4,27.9,100494,71,414,0.98,0,29,0,175,0.9,0.699999988,0.95,0.141,1.85,0,42,207
5/1/23 8:00,5/1/23 1:00,26,28.4,27.9,100557,237,418,1,0,114,0,176,0.1,0.100000001,0.92,0.389,1.9,0,123,301
5/1/23 9:00,5/1/23 2:00,28.5,28.4,27.9,100565,462,414,1,0,313,0,7,0.9,1.100000024,0.81,0.631,1.98,0,149,530
5/1/23 10:00,5/1/23 3:00,28.9,28.4,27.9,100580,631,416,0.99,0,447,0,358,2.1,2.5,0.77,0.862,2.12,0,184,589
5/1/23 11:00,5/1/23 4:00,29.3,28.4,27.9,100530,671,421,0.99,0,469,0,357,2.5,3.099999905,0.75,1.065,2.39,0,202,536
5/1/23 12:00,5/1/23 5:00,30.6,28.4,27.9,100417,823,426,1,0,613,0,358,1.7,2,0.69,1.192,2.91,0,210,660
5/1/23 13:00,5/1/23 6:00,30.7,28.4,27.9,100335,740,433,1,0,522,0,1,1.3,1.5,0.68,1.163,-2.7,0,218,569
5/1/23 14:00,5/1/23 7:00,31,28.4,27.9,100246,417,445,0.98,0.1,77,0,349,1.6,1.899999976,0.68,1.001,-2.28,0,340,91
5/1/23 15:00,5/1/23 8:00,30.6,28.4,27.9,100177,327,434,0.99,0.2,64,0,351,1.3,1.5,0.7,0.786,-2.07,0,263,90
5/1/23 16:00,5/1/23 9:00,30.2,28.4,27.9,100196,189,430,1,0.2,42,0,308,1,1.200000048,0.73,0.549,-1.95,0,147,80
5/1/23 17:00,5/1/23 10:00,28.3,28.4,27.9,100224,120,429,1,0,30,0,269,1,1.200000048,0.82,0.304,-1.88,0,90,100
5/1/23 18:00,5/1/23 11:00,27.9,28.4,27.9,100206,20,421,1,0,3,0,228,0.6,0.800000012,0.83,0.055,-1.84,0,17,55
