datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 16:00,23.7,26.7,26.1,97460,0,409,1,0.2,0,0,61,2.5,3.400000095,0.97,0,-2.72,0.01,0,0
5/1/23 1:00,4/30/23 17:00,23.6,26.7,26.1,97390,0,409,0.97,0.1,0,0,57,2.1,3.099999905,0.97,0,-2.97,0,0,0
5/1/23 2:00,4/30/23 18:00,23.5,26.7,26.1,97326,0,408,0.98,0.1,0,0,53,1.8,2.599999905,0.98,0,3.06,0,0,0
5/1/23 3:00,4/30/23 19:00,23.5,26.7,26.1,97259,0,410,0.98,0,0,0,54,1.7,2.200000048,0.98,0,2.8,0,0,0
5/1/23 4:00,4/30/23 20:00,23.2,26.7,26.1,97225,0,406,0.98,0,0,0,54,1.7,1.899999976,0.98,0,2.55,0,0,0
5/1/23 5:00,4/30/23 21:00,23.1,26.7,26.1,97233,0,404,0.97,0,0,0,57,1.6,1.799999952,0.97,0,2.31,0,0,0
5/1/23 6:00,4/30/23 22:00,22.5,26.7,26.1,97176,0,404,0.94,0,0,0,69,1.7,2.400000095,0.99,0,2.07,0,0,0
5/1/23 7:00,4/30/23 23:00,22.7,26.7,26.1,97240,0,401,0.97,0,0,0,65,1.4,2.400000095,0.98,0,1.88,0,0,0
5/1/23 8:00,5/1/23 0:00,23.6,26.7,26.1,97265,49,402,0.98,0,24,0,72,1.7,2.700000048,0.96,0.099,1.82,0,25,242
5/1/23 9:00,5/1/23 1:00,25.9,26.7,26.1,97349,259,399,0.99,0,174,0,89,1.2,2.200000048,0.89,0.353,1.83,0,85,504
5/1/23 10:00,5/1/23 2:00,28.2,26.7,26.1,97411,443,404,0.98,0,302,0,92,1.3,1.799999952,0.78,0.605,1.85,0,141,531
5/1/23 11:00,5/1/23 3:00,29.6,26.7,26.1,97447,714,406,0.99,0,601,0,80,1.7,2.299999952,0.73,0.855,1.9,0,113,797
5/1/23 12:00,5/1/23 4:00,30.7,26.7,26.1,97416,822,416,0.99,0.1,665,0,68,1.8,2.400000095,0.67,1.096,2.04,0,157,748
5/1/23 13:00,5/1/23 5:00,32,26.7,26.1,97347,761,422,0.98,0.1,605,0,66,1.6,2.099999905,0.61,1.305,2.45,0,156,627
5/1/23 14:00,5/1/23 6:00,32.4,26.7,26.1,97270,832,426,0.98,0.1,597,0,62,1.5,2,0.61,1.349,-2.74,0,235,612
5/1/23 15:00,5/1/23 7:00,32.4,26.7,26.1,97151,730,427,0.99,0,526,0,62,1.3,1.700000048,0.62,1.17,-2.13,0,204,571
5/1/23 16:00,5/1/23 8:00,31.9,26.7,26.1,97040,656,430,0.91,0,468,0,79,0.8,1.200000048,0.64,0.935,-1.94,0,188,582
5/1/23 17:00,5/1/23 9:00,30.5,26.7,26.1,96996,486,429,0.85,0.1,360,0,157,0.5,0.800000012,0.7,0.687,-1.86,0,126,568
5/1/23 18:00,5/1/23 10:00,30,26.7,26.1,97021,282,426,0.93,0.1,187,0,173,0.7,1.100000024,0.66,0.435,-1.83,0,95,444
5/1/23 19:00,5/1/23 11:00,29.1,26.7,26.1,97092,102,419,1,0,60,0,192,0.7,1.399999976,0.79,0.182,-1.83,0,42,331
5/1/23 20:00,5/1/23 12:00,27.7,26.7,26.1,97181,2,419,1,0,0,0,319,0.3,0.400000006,0.8,0,-1.85,0,2,0
5/1/23 21:00,5/1/23 13:00,26.5,26.7,26.1,97320,0,413,1,0,0,0,4,0.8,1.299999952,0.8,0,-2,0,0,0
5/1/23 22:00,5/1/23 14:00,25.5,26.7,26.1,97385,0,414,1,0,0,0,47,0.9,2,0.89,0,-2.23,0,0,0
5/1/23 23:00,5/1/23 15:00,25.2,26.7,26.1,97398,0,410,1,0,0,0,58,1.2,2.599999905,0.9,0,-2.47,0,0,0
5/2/23 0:00,5/1/23 16:00,25.1,26.7,26.1,97427,0,406,0.98,0,0,0,48,1.1,2.400000095,0.89,0,-2.72,0,0,0
5/2/23 1:00,5/1/23 17:00,24.8,26.7,26.1,97424,0,408,1,0,0,0,46,1,1.899999976,0.92,0,-2.97,0,0,0
5/2/23 2:00,5/1/23 18:00,24.5,26.7,26.1,97352,0,403,0.98,0,0,0,45,1.1,2,0.92,0,3.06,0,0,0
5/2/23 3:00,5/1/23 19:00,24,26.7,26.1,97287,0,402,0.97,0,0,0,46,1.1,2.200000048,0.95,0,2.8,0,0,0
5/2/23 4:00,5/1/23 20:00,23.5,26.7,26.1,97237,0,399,0.95,0,0,0,55,1.1,2,0.96,0,2.55,0,0,0
5/2/23 5:00,5/1/23 21:00,23.5,26.7,26.1,97237,0,394,0.95,0,0,0,67,1.4,2.200000048,0.96,0,2.31,0,0,0
5/2/23 6:00,5/1/23 22:00,23.1,26.7,26.1,97212,0,390,0.78,0,0,0,53,1.5,2.799999952,0.96,0,2.07,0,0,0
5/2/23 7:00,5/1/23 23:00,22.8,26.7,26.1,97335,0,389,0.77,0,0,0,83,1.4,2.599999905,0.96,0,1.88,0,0,0
