datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:30,4/30/23 19:00,21.4,27.5,22.9,98155,0,378,0.74,0,0,0,89,2.1,4,0.89,0,-3.07,0.02,0,0
5/1/23 1:30,4/30/23 20:00,21.1,27.5,23,98106,0,383,0.91,0,0,0,55,2,3.200000048,0.92,0,2.96,0,0,0
5/1/23 2:30,4/30/23 21:00,21.2,27.5,23,98074,0,385,0.94,0,0,0,60,2.2,3.5,0.91,0,2.71,0.01,0,0
5/1/23 3:30,4/30/23 22:00,21,27.5,23,98045,0,375,1,0,0,0,85,3.1,5.599999905,0.9,0,2.46,0.11,0,0
5/1/23 4:30,4/30/23 23:00,20.8,27.5,23,98086,0,371,1,0.2,0,0,101,3.3,5.599999905,0.91,0,2.22,0.11,0,0
5/1/23 5:30,5/1/23 0:00,21.1,27.4,23,98104,0,369,1,1.2,0,0,95,2.7,4.800000191,0.9,0,1.99,0.06,0,0
5/1/23 6:30,5/1/23 1:00,21.1,27.4,23,98173,19,388,0.82,1.7,2,0,99,2.8,4.599999905,0.9,0.057,1.84,0.05,17,35
5/1/23 7:30,5/1/23 2:00,21.5,27.4,23,98227,88,400,0.83,1.2,16,0,114,4,5.300000191,0.88,0.282,1.72,0.09,72,57
5/1/23 8:30,5/1/23 3:00,21.8,27.4,23,98305,212,399,0.89,0.8,60,0,123,3.6,4.599999905,0.84,0.511,1.6,0.05,152,123
5/1/23 9:30,5/1/23 4:00,22.3,27.4,23,98337,313,402,0.99,0.2,107,0,128,3.2,4.099999905,0.82,0.741,1.47,0.03,206,159
5/1/23 10:30,5/1/23 5:00,23.9,27.4,23,98367,448,399,0.99,0.2,196,0,137,2.7,3.400000095,0.75,0.967,1.3,0.01,252,238
5/1/23 11:30,5/1/23 6:00,26.9,27.3,23,98349,671,395,1,0.2,393,0,141,1.9,2.5,0.65,1.177,1,0,278,426
5/1/23 12:30,5/1/23 7:00,26.7,27.3,23,98295,318,410,0.91,0.4,49,0,166,1.7,2.099999905,0.65,1.323,0.31,0,269,51
5/1/23 13:30,5/1/23 8:00,26.3,27.3,23,98228,710,405,0.62,0.1,395,0,134,2.1,2.5,0.65,1.279,-0.66,0,315,412
5/1/23 14:30,5/1/23 9:00,26.6,27.3,23,98130,648,403,0.92,1.2,431,0,115,2.5,2.900000095,0.64,1.095,-1.14,0,217,485
5/1/23 15:30,5/1/23 10:00,22.7,27.3,23,98104,222,409,0.87,2.8,84,0,72,3.8,5,0.81,0.876,-1.38,0.07,138,109
5/1/23 16:30,5/1/23 11:00,22.7,27.3,23,98053,222,399,0.81,1.6,115,0,67,3.2,4.199999809,0.87,0.647,-1.53,0.03,107,191
5/1/23 17:30,5/1/23 12:00,23,27.3,23,98098,135,392,0.66,0,48,0,70,2.7,3.400000095,0.84,0.417,-1.65,0.01,87,118
5/1/23 18:30,5/1/23 13:00,23.6,27.3,23,98079,86,383,0.67,0,22,0,72,2.4,3.299999952,0.82,0.19,-1.77,0.01,64,117
5/1/23 19:30,5/1/23 14:00,22.7,27.3,23,98170,5,383,0.58,0.2,0,0,64,2.9,5.199999809,0.87,0,-1.89,0.08,5,0
5/1/23 20:30,5/1/23 15:00,22.7,27.2,23,98223,0,381,0.41,0.2,0,0,82,4,6.800000191,0.86,0,-2.08,0.2,0,0
5/1/23 21:30,5/1/23 16:00,22.3,27.2,23,98297,0,383,0.62,0,0,0,96,3.9,6.699999809,0.87,0,-2.32,0.2,0,0
5/1/23 22:30,5/1/23 17:00,21.7,27.2,23,98365,0,375,0.72,0,0,0,105,3.2,5.800000191,0.87,0,-2.56,0.12,0,0
5/1/23 23:30,5/1/23 18:00,21.4,27.2,23,98372,0,367,0.77,0,0,0,108,2.7,4.900000095,0.89,0,-2.81,0.06,0,0
5/2/23 0:30,5/1/23 19:00,21.2,27.2,23,98338,0,387,0.89,0.5,0,0,109,2.3,4.5,0.9,0,-3.07,0.04,0,0
5/2/23 1:30,5/1/23 20:00,20.6,27.2,23,98300,0,383,0.83,0.3,0,0,111,1.6,3.700000048,0.93,0,2.96,0.02,0,0
5/2/23 2:30,5/1/23 21:00,20.4,27.1,23.1,98270,0,380,0.94,0.3,0,0,65,0.9,2.299999952,0.93,0,2.71,0,0,0
5/2/23 3:30,5/1/23 22:00,20.7,27.1,23.1,98234,0,382,0.69,0.2,0,0,82,2.4,5,0.93,0,2.46,0.07,0,0
5/2/23 4:30,5/1/23 23:00,20.9,27.1,23.1,98234,0,386,0.5,0.2,0,0,94,2.8,5.699999809,0.92,0,2.22,0.11,0,0
5/2/23 5:30,5/2/23 0:00,21.2,27.1,23.1,98280,0,386,0.52,0.5,0,0,107,3.3,6.099999905,0.92,0,2,0.14,0,0
5/2/23 6:30,5/2/23 1:00,21,27.1,23.1,98298,12,409,0.28,3.1,1,0,110,3.5,5.800000191,0.94,0.06,1.84,0.12,11,17
5/2/23 7:30,5/2/23 2:00,21,27.1,23.1,98359,62,412,0.91,1,7,0,121,4.7,6.400000095,0.96,0.285,1.72,0.17,55,25
5/2/23 8:30,5/2/23 3:00,20.7,27,23.1,98451,85,414,0.78,0.2,0,0,128,4.1,5.300000191,0.99,0.514,1.61,0.09,85,0
5/2/23 9:30,5/2/23 4:00,20.8,27,23.1,98505,170,412,1,0.5,2,0,126,3.3,4.199999809,0.99,0.744,1.48,0.03,168,3
5/2/23 10:30,5/2/23 5:00,22.9,27,23.1,98553,362,408,0.98,0.3,43,0,122,2.8,3.400000095,0.91,0.97,1.3,0.01,319,52
5/2/23 11:30,5/2/23 6:00,24,27,23.1,98544,467,421,0.8,0.4,170,0,119,2.8,3.400000095,0.85,1.181,1.01,0.01,297,184
