datetime_lst,datetime,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,wdir10,ws10,ws100,r2m,alpha_sol,azimuth_sol,CF100,dhi,dni
5/1/23 0:00,4/30/23 17:00,27.5,28.8,28.6,101066,0,419,0.7,0,0,0,144,1.1,1.799999952,0.89,0,3.12,0,0,0
5/1/23 1:00,4/30/23 18:00,27.4,28.8,28.6,100991,0,415,0.82,0,0,0,140,0.8,1.700000048,0.9,0,2.87,0,0,0
5/1/23 2:00,4/30/23 19:00,27.5,28.8,28.6,100955,0,420,0.7,0,0,0,139,1.2,2.200000048,0.88,0,2.62,0,0,0
5/1/23 3:00,4/30/23 20:00,27,28.8,28.6,100955,0,416,0.54,0,0,0,142,1.3,2.400000095,0.91,0,2.37,0,0,0
5/1/23 4:00,4/30/23 21:00,27.1,28.8,28.6,100957,0,416,0.54,0,0,0,151,1.3,2.400000095,0.9,0,2.13,0,0,0
5/1/23 5:00,4/30/23 22:00,27.4,28.8,28.6,100970,0,413,0.64,0,0,0,146,1.3,2.700000048,0.89,0,1.92,0,0,0
5/1/23 6:00,4/30/23 23:00,27.6,28.8,28.6,101048,9,416,0.71,0,3,0,137,1.8,3,0.88,0,1.83,0,6,60
5/1/23 7:00,5/1/23 0:00,28,28.8,28.6,101130,126,419,0.88,0,69,0,125,2.1,2.900000095,0.87,0.235,1.87,0,57,296
5/1/23 8:00,5/1/23 1:00,28.1,28.8,28.6,101189,324,417,0.52,0,220,0,123,2.2,2.799999952,0.87,0.48,1.94,0,104,476
5/1/23 9:00,5/1/23 2:00,30.5,28.8,28.6,101206,501,426,0.55,0,356,0,114,2.1,2.599999905,0.78,0.718,2.04,0,145,541
5/1/23 10:00,5/1/23 3:00,31,28.8,28.6,101154,662,426,0.24,0.1,484,0,109,2,2.400000095,0.74,0.938,2.23,0,178,600
5/1/23 11:00,5/1/23 4:00,31.2,28.8,28.6,101082,702,435,0.28,0.1,526,0,104,1.8,2.099999905,0.72,1.115,2.58,0,176,586
5/1/23 12:00,5/1/23 5:00,30.9,28.8,28.6,101024,559,447,0.2,0.2,303,0,82,1.5,1.799999952,0.72,1.184,-3.09,0,256,327
